system:index,date,month,value,variable,year,.geo
0,2021-01-01,1,211.44633389162496,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-02-01,2,182.88891458389847,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-03-01,3,27.95134104420087,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-04-01,4,12.791600380188074,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-05-01,5,3.488876171717714,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-06-01,6,6.463526995759529,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-07-01,7,2.8341127480572803,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-08-01,8,1.7730406177454126,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-09-01,9,6.9786851419325755,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-10-01,10,28.30661553344932,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-11-01,11,72.68614743251091,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-12-01,12,147.07343355307205,rainfall_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-01-01,1,96.10754441964646,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-02-01,2,30.28545496506083,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-03-01,3,45.08492185235492,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-04-01,4,59.94553470566143,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-05-01,5,19.915834169477645,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-06-01,6,10.591898277184802,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-07-01,7,3.9209798934721145,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-08-01,8,1.393540609572791,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-09-01,9,4.941638706375852,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-10-01,10,30.420109568902213,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-11-01,11,69.66732926897886,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-12-01,12,88.23760922678956,rainfall_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-01-01,1,51.36187152391983,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-02-01,2,157.59144621473848,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-03-01,3,46.390393834830945,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-04-01,4,11.834536928470513,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-05-01,5,13.611367990506805,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-06-01,6,3.370940879852463,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-07-01,7,5.012885152322963,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-08-01,8,2.344866611727175,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-09-01,9,10.464903883729283,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-10-01,10,33.103448861898926,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-11-01,11,29.79626196106082,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-12-01,12,149.066983079659,rainfall_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2024-01-01,1,91.17940638810673,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2024-02-01,2,40.248766449580486,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2024-03-01,3,58.754067140958455,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2024-04-01,4,34.39683056884257,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2024-05-01,5,3.559453925182984,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2024-06-01,6,5.482123657536024,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2024-07-01,7,1.7850730308147271,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2024-08-01,8,3.530072724666177,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2024-09-01,9,7.317325650175882,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2024-10-01,10,18.53330778246121,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2024-11-01,11,78.17098672111372,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2024-12-01,12,126.35299827906239,rainfall_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2025-01-01,1,169.2454716160008,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2025-02-01,2,155.11713067386776,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2025-03-01,3,39.841626847188984,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2025-04-01,4,49.3908324145867,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2025-05-01,5,8.16462763987892,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2025-06-01,6,4.745918072425815,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2025-07-01,7,5.936006465649684,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2025-08-01,8,3.797683175194955,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2025-09-01,9,9.567658050038942,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2025-10-01,10,32.18391620733028,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2025-11-01,11,129.72313509466005,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2025-12-01,12,125.68458647465138,rainfall_2021_2025,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
