system:index,date,month,value,variable,year,.geo
0,2021-01-01,1,23.91518219234054,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2021-02-01,2,22.84113980079849,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2021-03-01,3,22.680742366319212,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2021-04-01,4,21.393639008545023,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2021-05-01,5,18.008205853452605,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2021-06-01,6,15.848819268662641,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2021-07-01,7,14.767342960164777,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2021-08-01,8,18.359587267384484,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2021-09-01,9,21.524519641152132,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2021-10-01,10,22.0602095821726,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2021-11-01,11,25.18537838584805,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2021-12-01,12,24.223200785147974,temperature_2021_2025,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-01-01,1,24.157447505414964,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-02-01,2,25.398476265756248,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-03-01,3,23.155895839935575,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-04-01,4,20.369888372862597,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-05-01,5,17.940596323145083,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-06-01,6,14.612347725231489,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-07-01,7,16.085133737593004,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-08-01,8,18.619226681870884,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-09-01,9,21.9931278428994,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-10-01,10,25.52638248855912,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-11-01,11,23.40226560716897,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-12-01,12,24.558148278099214,temperature_2021_2025,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-01-01,1,24.955039998115893,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-02-01,2,23.392774879265637,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-03-01,3,23.192659951595992,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-04-01,4,22.054401233914014,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-05-01,5,19.670097978325277,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-06-01,6,17.685852834109244,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-07-01,7,15.320176360586155,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-08-01,8,18.323631533857444,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-09-01,9,22.72464438522426,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-10-01,10,23.226219816382585,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-11-01,11,25.480835623167977,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-12-01,12,24.67968515189573,temperature_2021_2025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2024-01-01,1,24.52089223971804,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2024-02-01,2,26.52390883918116,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2024-03-01,3,25.440195332395533,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2024-04-01,4,21.318964921424026,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2024-05-01,5,19.670254027312172,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2024-06-01,6,16.15500451939887,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2024-07-01,7,17.368000146074284,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2024-08-01,8,19.561133689328265,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2024-09-01,9,22.353911443044847,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2024-10-01,10,23.575419626827646,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2024-11-01,11,25.421005130169174,temperature_2021_2025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
